date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:31	20/20	---MCZ	200	added ('OK')	text/plain	date:Sat,%2013%20Sep%202025%2003:11:12%20GMT	https://belluri.webflow.io/robots.txt		(from )
11:38:31	58399/58399	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202025%2022:15:00%20GMT	https://belluri.webflow.io/	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/index.html	(from )
11:38:31	254050/254050	---M-Z	200	added ('OK')	text/css	etag:%223c792dd35af867ec550b91099f7bb464%22	https://assets.website-files.com/62eb83fe467fa574c8f5d86b/css/belluri.webflow.2d11d7b11.css	C:/Users/it%20tech/Downloads/Spa-template/assets.website-files.com/62eb83fe467fa574c8f5d86b/css/belluri.webflow.2d11d7b11.css	(from https://belluri.webflow.io/)
11:38:31	13188/13188	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/it%20tech/Downloads/Spa-template/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://belluri.webflow.io/)
11:38:31	889/889	---M--	200	added ('OK')	image/png	etag:%2267c78ca067e2a70fa09f1ae4207a811b%22	https://cdn.prod.website-files.com/62eb83fe467fa574c8f5d86b/6304a304525dad756421102d_favicon.png	C:/Users/it%20tech/Downloads/Spa-template/cdn.prod.website-files.com/62eb83fe467fa574c8f5d86b/6304a304525dad756421102d_favicon.png	(from https://belluri.webflow.io/)
11:38:32	9837/9837	---M--	200	added ('OK')	image/png	etag:%2256776b6b328f81608e55c82b04decaaf%22	https://cdn.prod.website-files.com/62eb83fe467fa574c8f5d86b/6304a308355b7f68af561dc4_webclip.png	C:/Users/it%20tech/Downloads/Spa-template/cdn.prod.website-files.com/62eb83fe467fa574c8f5d86b/6304a308355b7f68af561dc4_webclip.png	(from https://belluri.webflow.io/)
11:38:32	6449/6449	---M--	200	added ('OK')	image/png	etag:%22deb5660c66a408d81679148e21ffe869%22	https://cdn.prod.website-files.com/62eb83fe467fa574c8f5d86b/62eb908dae610ff6845ea8cd_logo.png	C:/Users/it%20tech/Downloads/Spa-template/cdn.prod.website-files.com/62eb83fe467fa574c8f5d86b/62eb908dae610ff6845ea8cd_logo.png	(from https://belluri.webflow.io/)
11:38:33	44510/44510	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2014:55:20%20GMT	https://belluri.webflow.io/spa-service	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/spa-service.html	(from https://belluri.webflow.io/)
11:38:33	37294/37294	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2014:54:30%20GMT	https://belluri.webflow.io/packages	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/packages.html	(from https://belluri.webflow.io/)
11:38:33	44811/44811	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2016:56:03%20GMT	https://belluri.webflow.io/about	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/about.html	(from https://belluri.webflow.io/)
11:38:34	47806/47806	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Sep%202025%2013:45:57%20GMT	https://belluri.webflow.io/therapy-service	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/therapy-service.html	(from https://belluri.webflow.io/)
11:38:34	37365/37365	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Sep%202025%2001:33:23%20GMT	https://belluri.webflow.io/pricing	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/pricing.html	(from https://belluri.webflow.io/)
11:38:34	35629/35629	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Sep%202025%2019:32:04%20GMT	https://belluri.webflow.io/team	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/team.html	(from https://belluri.webflow.io/)
11:38:35	36194/36194	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2013:42:55%20GMT	https://belluri.webflow.io/blog	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/blog.html	(from https://belluri.webflow.io/)
11:38:35	32511/32511	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2002:53:10%20GMT	https://belluri.webflow.io/register	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/register.html	(from https://belluri.webflow.io/)
11:38:35	6346/6346	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2013%20Sep%202025%2005:38:35%20GMT	https://belluri.webflow.io/login	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/login	(from https://belluri.webflow.io/)
11:38:36	36706/36706	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Sep%202025%2003:25:06%20GMT	https://belluri.webflow.io/contact	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/contact.html	(from https://belluri.webflow.io/)
11:38:36	82612/82612	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2011:17:47%20GMT	https://belluri.webflow.io/checkout	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/checkout.html	(from https://belluri.webflow.io/)
11:38:36	87083/87083	---M--	200	added ('OK')	image/png	etag:%22154a49e6098a3801af0f67e8156f2035%22	https://cdn.prod.website-files.com/62eb83fe467fa574c8f5d86b/62ef44e6664d6514f6561bdf_about-thumb-image.png	C:/Users/it%20tech/Downloads/Spa-template/cdn.prod.website-files.com/62eb83fe467fa574c8f5d86b/62ef44e6664d6514f6561bdf_about-thumb-image.png	(from https://belluri.webflow.io/)
11:38:37	6346/6346	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2013%20Sep%202025%2005:38:37%20GMT	https://belluri.webflow.io/therapy/organic-therapy	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/therapy/organic-therapy	(from https://belluri.webflow.io/)
11:38:37	6346/6346	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2013%20Sep%202025%2005:38:37%20GMT	https://belluri.webflow.io/therapy/massage-therapy	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/therapy/massage-therapy	(from https://belluri.webflow.io/)
11:38:37	37836/37836	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2011:35:17%20GMT	https://belluri.webflow.io/therapy/oil-therapy	C:/Users/it%20tech/Downloads/Spa-template/belluri.webflow.io/therapy/oil-therapy.html	(from https://belluri.webflow.io/)
11:38:37	84428/84428	---M--	200	added ('OK')	image/png	etag:%22ba6e6dc42b6539ea57bc2119c02287f7%22	https://cdn.prod.website-files.com/62eb83fe467fa574c8f5d86b/62f0ad96295fa16c5dd31f54_feature.png	C:/Users/it%20tech/Downloads/Spa-template/cdn.prod.website-files.com/62eb83fe467fa574c8f5d86b/62f0ad96295fa16c5dd31f54_feature.png	(from https://belluri.webflow.io/)
